Date,Time,Ptch(rad),Roll(rad),Yaw(rad),FM,1RSS(dB),2RSS(dB),RQly(%),RSNR(dB),RFMD,TPWR(mW),TRSS(dB),TQly(%),TSNR(dB),RxBt(V),Curr(A),Capa(mAh),GPS,GSpd(kmh),Hdg(@),Alt(m),Sats,VSpd(m/s),Bat_(%),Rud,Ele,Thr,Ail,S1,S2,SA,SB,SC,SD,SF,SH,SI,SJ,LSW,TxBat(V)
2021-03-10,13:43:57.760,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,,0.0,0.00,0,0,0.0,0,-7,-5,-973,13,-1023,-1023,-1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000000,6.6
2021-03-10,13:43:57.850,5.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,,0.0,0.00,0,0,0.0,0,-8,-6,-973,13,-1023,-1023,-1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000000,6.6
2021-03-10,13:43:57.950,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,,0.0,0.00,0,0,0.0,0,-8,-6,-973,13,-1023,-1023,-1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000000,6.6
2021-03-10,13:43:58.050,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,,0.0,0.00,0,0,0.0,0,-7,-6,-972,15,-1023,-1023,-1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000000,6.6
2021-03-10,13:43:58.150,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,,0.0,0.00,0,0,0.0,0,-7,-6,-973,13,-1023,-1023,-1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000000,6.6
2021-03-10,13:43:58.250,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,,0.0,0.00,0,0,0.0,0,-8,-6,-972,13,-1024,-1023,-1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000000,6.6
2021-03-10,13:43:58.350,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,,0.0,0.00,0,0,0.0,0,-8,-6,-973,13,-1023,-1023,-1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000000,6.6
2021-03-10,13:43:58.450,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,,0.0,0.00,0,0,0.0,0,-8,-6,-973,13,-1024,-1023,-1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000000,6.6
2021-03-10,13:43:58.550,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,,0.0,0.00,0,0,0.0,0,-7,-5,-972,13,-1023,-1023,-1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000000,6.6
2021-03-10,13:43:58.650,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,,0.0,0.00,0,0,0.0,0,-8,-5,-973,13,-1024,-1023,-1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000000,6.6
